User Type,Description
Unconscious User,"The Unconscious User may not believe themselves to be a user of AI powered tools at all. Often this group is uninterested in the technology itself and has a neutral view on it as a whole."
Avoidant User,"The Avoidant User has a largely negative view of AI powered tools and actively goes out of their way to avoid using them. They may see only negative aspects of AI tech and refute positive use cases."
Enthusiast User,"The Enthusiast User has a strong positive view of AI technology. They may attempt to use AI at every given chance. This group may also overlook negative aspects in favor of the positives."
Informed User,"The Informed User has a nuanced view on AI tech. They understand that there are positives and negatives to using it. This group treats AI as a tool, and only use it when it would benefit a project."
